53,male,Instagram
49,female,Instagram
21,female,Twitter
65,male,Twitter
23,male,Instagram
47,female,Facebook
55,male,TikTok
22,female,Twitter
26,female,TikTok
18,female,TikTok
21,male,Instagram
43,male,TikTok
34,female,YouTube
53,female,Instagram
30,male,Twitter
54,female,TikTok
54,female,Twitter
56,male,Instagram
19,male,Instagram
59,female,Instagram
35,male,Facebook
65,male,Facebook
53,female,Instagram
33,female,Facebook
22,male,Instagram
55,female,TikTok
45,female,Facebook
56,female,TikTok
18,male,Twitter
45,female,TikTok
40,female,Facebook
27,male,Facebook
28,male,YouTube
27,female,Facebook
45,male,Facebook
63,male,Twitter
23,female,TikTok
66,female,TikTok
31,male,Twitter
41,female,YouTube
22,female,Instagram
53,male,TikTok
64,female,YouTube
34,female,Instagram
25,female,Facebook
46,female,YouTube
63,male,Twitter
26,male,Instagram
36,female,YouTube
28,female,YouTube
18,male,Instagram
36,male,TikTok
52,male,YouTube
67,male,Twitter
46,female,Twitter
36,female,YouTube
42,male,Instagram
63,female,YouTube
49,male,Facebook
59,female,Facebook
44,male,Twitter
35,male,TikTok
57,female,Twitter
38,male,Facebook
63,female,YouTube
28,male,YouTube
53,male,Facebook
68,male,Facebook
28,female,Twitter
25,male,YouTube
62,male,YouTube
42,male,TikTok
55,male,YouTube
70,male,YouTube
54,female,Instagram
25,female,TikTok
20,female,Instagram
46,male,Instagram
67,female,TikTok
49,male,Twitter
60,female,Instagram
39,male,Twitter
34,male,Instagram
35,male,YouTube
18,female,Twitter
27,male,YouTube
35,female,YouTube
19,male,TikTok
54,female,YouTube
27,female,Facebook
18,male,YouTube
57,male,TikTok
69,male,Instagram
69,female,TikTok
59,male,Twitter
49,female,Twitter
43,male,Instagram
67,male,TikTok
44,male,Twitter
55,male,Instagram
43,male,YouTube
43,male,Facebook
36,female,Twitter
25,male,Facebook
69,male,Instagram
23,male,Instagram
69,male,Twitter
40,male,Instagram
36,male,Twitter
62,male,Instagram
30,male,YouTube
20,female,Facebook
64,female,Instagram
47,female,YouTube
57,female,Instagram
52,female,Twitter
56,female,Instagram
24,male,Facebook
66,male,Facebook
24,female,Twitter
61,male,Instagram
40,male,Instagram
69,male,Facebook
65,male,Instagram
60,female,Instagram
67,female,TikTok
46,female,Twitter
53,female,TikTok
41,female,Twitter
45,male,Facebook
54,male,Facebook
53,female,Instagram
34,female,TikTok
54,male,Instagram
65,male,Twitter
31,female,TikTok
63,male,Facebook
64,female,Facebook
21,male,Instagram
60,female,YouTube
48,male,Instagram
53,female,Facebook
64,female,Facebook
48,male,TikTok
28,female,Facebook
21,male,Facebook
24,male,Instagram
21,male,TikTok
64,male,Twitter
28,male,YouTube
69,female,Twitter
47,female,YouTube
60,male,TikTok
20,female,YouTube
45,female,Facebook
64,male,TikTok
53,male,Facebook
18,male,YouTube
31,male,TikTok
51,female,TikTok
38,female,Facebook
66,male,YouTube
23,female,Instagram
31,female,Facebook
68,female,TikTok
43,female,TikTok
67,female,Twitter
35,female,YouTube
30,male,Twitter
50,male,Instagram
44,female,YouTube
52,female,TikTok
34,female,Facebook
65,female,Twitter
54,female,Instagram
53,female,YouTube
47,female,Twitter
56,female,YouTube
20,female,YouTube
35,female,Facebook
46,male,Instagram
66,male,Facebook
31,female,Facebook
57,female,YouTube
38,male,TikTok
26,female,Twitter
43,male,TikTok
18,female,Instagram
65,male,Twitter
52,female,YouTube
37,female,YouTube
30,female,Twitter
51,male,Twitter
38,male,Twitter
68,female,Facebook
20,male,Twitter
68,male,Instagram
54,female,Twitter
67,female,Instagram
58,male,Instagram
24,female,TikTok
25,male,Facebook
34,male,Twitter
24,male,Facebook
60,female,YouTube
30,male,Instagram
40,female,Instagram
65,male,TikTok
69,male,YouTube
64,female,YouTube
43,female,YouTube
30,male,Twitter
29,female,Twitter
51,male,Instagram
63,female,Facebook
55,female,YouTube
33,female,Twitter
47,male,YouTube
63,female,Twitter
31,female,YouTube
55,male,Facebook
39,male,TikTok
23,female,YouTube
54,female,TikTok
54,female,Facebook
43,male,Twitter
70,female,TikTok
30,female,Facebook
24,female,Instagram
20,male,Twitter
65,male,YouTube
65,female,TikTok
38,male,Instagram
27,male,Instagram
35,male,Instagram
67,male,TikTok
50,female,TikTok
43,female,Instagram
18,female,Facebook
52,female,Instagram
20,male,Facebook
51,male,YouTube
51,male,Twitter
52,female,YouTube
49,female,YouTube
35,male,YouTube
69,male,TikTok
52,female,YouTube
29,male,TikTok
